doc_id,source,document,LLM_q,doc_prompt,reduce_doc
sport_1.json,https://bleacherreport.com/articles/10136185-bengals-tee-higgins-expects-to-make-season-debut-vs-commanders-amid-injury-rehab,"Bengals' Tee Higgins Expects to Make Season Debut vs. Commanders amid Injury Rehab Joe Sargent/Getty Images

Cincinnati Bengals wide receiver Tee Higgins is preparing to make his season debut during the team's Week 3 matchup with the Washington Commanders.

Higgins told reporters on Friday that he ""feels great"" heading into the game, via NFL Network's Cameron Wolfe.

""Finally ready to get my feet wet this season and ready to go,"" he said.

Higgins has missed Cincinnati's first two games of the year after he suffered a hamstring injury in practice on Sept. 5.

It's worth noting that Bengals head coach Zac Taylor hasn't officially confirmed that Higgins will be active against Washington, but it's still a promising sign that the 25-year-old is confident in his ability to return.

He was listed as a limited participant in practice on Thursday and Friday in the Bengals' latest injury report.

Higgins was considered doubtful ahead of Cincinnati's Week 2 loss to the Kansas City Chiefs and he ultimately didn't suit up. He'll have an extra day to prepare for the Commanders, as they're set to clash with the Bengals on Monday Night Football.

The reintroduction of Higgins into Cincinnati's offense should provide a boost to a team that has started the 2024 season with a disappointing 0-2 record. The Bengals have averaged just 272 yards per game through two weeks, ranking No. 24 among all NFL teams.

Although Higgins was limited to just 12 appearances in 2023 due to hamstring issues, he was able to surpass 1,000 receiving yards in each of the prior two seasons.

His potential debut should also make life easier for three-time Pro Bowl wideout Ja'Marr Chase. Chase has been given extra attention from defenses to start the year, which has hampered his overall production. The 24-year-old has recorded just 10 catches for 97 yards in two games.",gpt-4o-mini,dt03,"1. Cincinnati Bengals wide receiver Tee Higgins is preparing to make his season debut during the Week 3 matchup against the Washington Commanders.  
2. Tee Higgins expressed confidence by stating that he ""feels great"" heading into the game.  
3. Higgins missed the first two games of the 2024 season due to a hamstring injury sustained in practice on September 5.  
4. Bengals head coach Zac Taylor has not yet confirmed that Tee Higgins will be active for the game against Washington.  
5. Tee Higgins participated as a limited player in practice on Thursday and Friday before the game.  
6. Higgins was listed as doubtful prior to Cincinnati's Week 2 loss to the Kansas City Chiefs and did not play in that game.  
7. The Bengals will face the Commanders on Monday Night Football, giving Higgins an additional day to prepare.  
8. The return of Tee Higgins is expected to boost the Bengals' offense, which has struggled with a 0-2 record to start the season.  
9. Cincinnati has averaged only 272 yards per game in the first two weeks, ranking them No. 24 among all NFL teams.  
10. Despite limited appearances in 2023 due to hamstring issues, Tee Higgins surpassed 1,000 receiving yards in each of the two prior seasons.  
11. The potential return of Higgins could alleviate defensive pressure on three-time Pro Bowl wideout Ja'Marr Chase.  
12. Ja'Marr Chase has struggled to produce, recording only 10 catches for 97 yards in the first two games of the season."
sport_2.json,https://bleacherreport.com/articles/10136181-justin-jefferson-ceedee-lamb-nfl-injury-statuses-and-fantasy-impact-for-week-3,"Justin Jefferson, CeeDee Lamb, NFL Injury Statuses and Fantasy Impact for Week 3 Stephen Maturen/Getty Images

Two of the best wide receivers in the NFL are expected to be on the field for their respective Week 3 games. Justin Jefferson and CeeDee Lamb each received positive prognosis about their injury issues, which is something that can't be said for the rest of the stars across the NFL. Christian McCaffrey is already on injured reserve, Deebo Samuel is out for a weeks and a slew of other running backs and wide receivers are dealing with ailments that could keep them out of Week 3. Below is a look at all of the significant injuries that could affect fantasy football matchups across Week 3. Justin Jefferson Off Injury Report

Justin Jefferson was taken off the Minnesota Vikings injury report on Friday. Jefferson's status was up in the air because of a quad injury, but he practiced well enough this week that the injury is not a concern. The superstar wide out will be needed for Minnesota's home clash with the Houston Texans, which has the potential to be a high-scoring affair. Jefferson is always the primary target in Minnesota when healthy, but he should have more targets in Week 3 because Jordan Addison and T.J. Hockenson are still out. Jefferson earned seven targets from Sam Darnold in Week 2. Only running back Aaron Jones had more than four targets against the New York Giants. Houston's defense may give Jefferson some fits, led by cornerback Derek Stingley Jr. but it has allowed 330 receiving yards to opposing wide outs on just 20 catches through two weeks. Jefferson is an automatic start whenever he's healthy, and his star power may be needed more on certain fantasy rosters in Week 3 depending on how many injuries affect a single roster.",gpt-4o-mini,dt03,"1. Justin Jefferson and CeeDee Lamb are both expected to play in their respective Week 3 games.  
2. Justin Jefferson was removed from the Minnesota Vikings injury report on Friday.  
3. Jefferson's previous injury concern was a quad issue, but he practiced well enough to be deemed fit.  
4. Justin Jefferson will be a key player for the Minnesota Vikings in their upcoming game against the Houston Texans.  
5. The matchup between the Vikings and Texans has the potential to be a high-scoring game.  
6. With Jordan Addison and T.J. Hockenson out, Jefferson is likely to receive more targets in Week 3.  
7. In Week 2, Justin Jefferson earned seven targets from quarterback Sam Darnold.  
8. Only Aaron Jones had more than four targets against the New York Giants in Week 2.  
9. Houston's defense has allowed 330 receiving yards to opposing wide receivers on just 20 catches in the first two weeks.  
10. Jefferson is considered an automatic start in fantasy football whenever he is healthy.  
11. Christian McCaffrey is already on injured reserve heading into Week 3.  
12. Deebo Samuel is expected to be out for several weeks due to his injury."
sport_3.json,https://bleacherreport.com/articles/10136178-browns-myles-garrett-says-he-has-same-injury-in-both-feet-will-continue-to-play,"Browns' Myles Garrett Says He Has Same Injury in Both Feet, Will Continue to Play Peter Joneleit/Icon Sportswire via Getty Images

Cleveland Browns superstar defensive end Myles Garrett is dealing with the same injury to both of his feet, but he'll be active when his team hosts the New York Giants on Sunday. Daryl Ruiter of 92.3 The Fan provided video of Garrett's comments. ""Don't feel 100 percent but feel good enough to go out there and make a difference,"" the reigning Defensive Player of the Year said, per ESPN's Daniel Oyefusi. Garrett didn't practice on Wednesday or Thursday but put in a limited practice on Friday. He provided more context on that schedule, per Camryn Justice of News 5 Cleveland. He is not listed with a game status on the injury report, and head coach Kevin Stefanski said Garrett ""looked like himself"" at practice. Garrett also added the following regarding the potential for surgery:

""We talk about [surgery after the season] but that's something that we'll talk about further down the line,"" Garrett said. ""The issue itself is something that I'll probably have to deal with for however long I end up playing. So it's about managing that and playing through it."" As far as whether this could be a lingering issue, Garrett replied: ""I hope not. Hopefully, in the next couple weeks it will continue to get better until it's something that's not bothering me as consistently as it is."" The injuries are potentially connected to a double foot surgery Garrett had as a boy, per Mary Kay Cabot of cleveland.com and The Plain Dealer. The eight-year veteran has amassed 90.5 career sacks.",gpt-4o-mini,dt03,"1. Myles Garrett is currently dealing with the same injury in both of his feet.  
2. Garrett will be active for the Cleveland Browns' game against the New York Giants.  
3. Garrett stated he does not feel 100 percent but is good enough to make a difference on the field.  
4. Myles Garrett did not practice on Wednesday or Thursday but participated in a limited practice on Friday.  
5. Garrett is not listed with a game status on the injury report.  
6. Head coach Kevin Stefanski mentioned that Garrett ""looked like himself"" during practice.  
7. Garrett indicated that discussions about potential surgery would occur after the season.  
8. Garrett acknowledged that he will have to manage his foot issue for the duration of his playing career.  
9. Garrett expressed hope that his foot condition will improve in the coming weeks.  
10. The foot injuries may be related to a double foot surgery Garrett underwent as a child.  
11. Myles Garrett has recorded a total of 90.5 career sacks in his eight-year NFL career.  
12. Garrett's comments regarding his injury were shared via video by Daryl Ruiter from 92.3 The Fan.  "
sport_4.json,https://bleacherreport.com/articles/10136179-nick-saban-talks-bryce-young-benching-thinks-panthers-roster-added-to-struggles,"Nick Saban Talks Bryce Young Benching, Thinks Panthers' Roster Added to Struggles Jared C. Tilton/Getty Images

After the Carolina Panthers opted to bench Bryce Young after Week 2, one person who knows the young quarterback well chimed in. Nick Saban, who coached Young during his time at Alabama, gave his thoughts on the Panthers' decision to bench the 2023 No. 1 overall pick on the Pat McAfee Show on Friday, saying that Carolina didn't have a roster that could allow Young to find success early in his career. ""You guys have heard me say before, quarterback is a really hard position to play if the people around you don't play well,"" Saban said (3:11 mark). ""Now I think sometimes the quarterback gets too much credit and I also think sometimes when things don't go well, the quarterback gets too much blame. Do they have the kind of players around Bryce Young that even gives him a chance to be successful? That's one of the bad things about being the first guy picked in the draft, you may go to a team that doesn't have all the pieces that you need... Carolina did not and they have to build this thing from the ground up. I hate to see Bryce get benched, but I also don't see a lot of opportunity for him to be successful based on the skill players they have around him, the offensive line they have around him and I think he's the type of player that can operate well when he has good players around him."" Young had a forgetful rookie year, throwing for 2,877 passing yards, 11 touchdowns and 10 interceptions as the Panthers finished a league-worst 2-15.",gpt-4o-mini,dt03,"1. Nick Saban coached Bryce Young during his time at the University of Alabama.  
2. The Carolina Panthers benched Bryce Young after Week 2 of the 2023 NFL season.  
3. Nick Saban expressed his opinion on the Panthers' decision during an appearance on the Pat McAfee Show.  
4. Saban believes that the Panthers' roster does not provide Bryce Young with the necessary support to succeed early in his career.  
5. Saban stated that playing quarterback is challenging when teammates do not perform well.  
6. According to Saban, quarterbacks can receive either too much credit for success or too much blame for failures.  
7. Saban questioned whether the Panthers have the right players around Bryce Young to allow him to be successful.  
8. Saban indicated that being the first overall pick in the draft can lead to landing on a team lacking essential pieces.  
9. Saban believes that the Panthers need to rebuild their roster from the ground up.  
10. Saban expressed regret over Bryce Young being benched, noting the lack of opportunity for success in Carolina.  
11. Bryce Young had a challenging rookie year, accumulating 2,877 passing yards.  
12. During his rookie season, Bryce Young threw 11 touchdowns and 10 interceptions as the Panthers finished with a 2-15 record."
sport_5.json,https://bleacherreport.com/articles/10136174-baker-mayfield-says-tom-brady-stressed-out-buccaneers-players-in-last-3-nfl-seasons,"Baker Mayfield Says Tom Brady 'Stressed Out' Buccaneers Players in Last 3 NFL Seasons Steven King/Icon Sportswire via Getty Images

Tampa Bay Buccaneers quarterback Baker Mayfield gave insight into how the team's culture has changed after his predecessor, seven-time Super Bowl champion Tom Brady, retired in 2023. Mayfield, who is in his second season as the Bucs' QB1, made his remarks on the Casa De Klub podcast with ex-MLB star pitcher Corey Kluber (h/t Tom Viera of USA Today). ""The building was a little bit different with Tom in there,"" Mayfield said in part (3:35 mark). ""Obviously, playing-wise, Tom is different. He had everybody dialed in, high-strung environment, so I think everybody was pretty stressed out."" Mayfield also said that the expectation when he came in to replace Brady was to be himself and to ""bring the joy back to football for some of the guys that weren't having as much fun."" As Mayfield himself noted, he and Brady have ""very different personalities,"" and his focus was just to be himself and not fill his shoes. Mayfield also stressed that he had to do things his own way. He later added (47:20 mark): ""You hear some of the stories about if he didn't like a certain play call and he didn't like it throughout the week and they still call it in the game, there might have been a throwaway on purpose or throwing it at the running back or receiver's feet. There were a lot of mind games going on."" Brady certainly found success in Tampa Bay, leading the team to the playoffs in all three of his seasons and guiding the Bucs to a Super Bowl victory to cap the 2020 campaign.",gpt-4o-mini,dt03,"1. Baker Mayfield is currently the starting quarterback for the Tampa Bay Buccaneers in his second season with the team.  
2. Tom Brady retired in 2023 after leading the Buccaneers for three seasons.  
3. Baker Mayfield discussed the cultural changes within the Buccaneers on the Casa De Klub podcast.  
4. Mayfield indicated that the atmosphere in the Buccaneers' facility was different during Tom Brady's tenure.  
5. According to Mayfield, Tom Brady created a high-strung environment that stressed out the team's players.  
6. Mayfield's goal as the new quarterback was to bring joy back to football for his teammates.  
7. Baker Mayfield emphasized the importance of being himself rather than trying to replicate Tom Brady's style of play.  
8. Mayfield acknowledged that he and Tom Brady have very different personalities.  
9. Mayfield noted that he needed to approach his role as quarterback in his own unique way.  
10. Baker Mayfield shared that there were ""mind games"" during Brady's time, particularly regarding play calls he disagreed with.  
11. Tom Brady successfully led the Buccaneers to the playoffs in each of his three seasons with the team.  
12. The highlight of Tom Brady's career with the Buccaneers was winning the Super Bowl in the 2020 season.  "
sport_6.json,https://bleacherreport.com/articles/10135965-chargers-justin-herbert-says-injury-is-high-ankle-sprain-status-vs-steelers-tbd,"Chargers' Justin Herbert Says Injury Is High Ankle Sprain; Status vs. Steelers TBD David Jensen/Icon Sportswire via Getty Images

Los Angeles Chargers quarterback Justin Herbert told reporters Friday that he is dealing with a high-ankle sprain suffered during the team's Week 2 win over the Carolina Panthers.

Herbert said that while the pain related to the injury is ""not great,"" his status for the team's Week 3 road game against the Pittsburgh Steelers on Sunday is to be determined.

NFL Network's Ian Rapoport (h/t Geoffrey C. Arnold of The Oregonian) reported that Herbert was ""extremely limited"" during Thursday's practice.

Chargers head coach Jim Harbaugh told reporters on Wednesday that Herbert was dealing with an ankle injury, and that he expected the quarterback ""to get better every day.""

""I was in a meeting with him,"" Harbaugh said. ""Said he was feeling much better and good today.""

Herbert underwent X-rays on his right leg on Monday which came back negative, Harbaugh told reporters.

The Chargers quarterback was injured during Week 2's 26-3 win over the Panthers after taking a hit in the third quarter. He did not miss any playing time, but he was seen walking with a ""significant limp"" after the game, per ESPN's Kris Rhim.

Herbert finished Week 2's game having gone 14-of-20 for 130 yards, two touchdowns, an interception and a fumble lost on the play during which he was injured.

He had previously led the Chargers to a 22-10 season-opening win over the Las Vegas Raiders at home with 17-of-26 passing for a touchdown and no picks.

If Herbert is unable to play, the Chargers will turn to Easton Stick, with Taylor Heinicke serving as backup.

Herbert started 34 straight regular-season games while amassing 9,753 passing yards through 2021 and 2022, but his 2023 campaign was cut short by a season-ending fracture on the index finger of his throwing hand.",gpt-4o-mini,dt03,"1. Los Angeles Chargers quarterback Justin Herbert is dealing with a high-ankle sprain that he sustained during the team's Week 2 victory over the Carolina Panthers.  
2. Herbert described the pain from his injury as ""not great,"" and his availability for the Week 3 game against the Pittsburgh Steelers is uncertain.  
3. NFL Network's Ian Rapoport reported that Herbert was ""extremely limited"" during practice on Thursday.  
4. Chargers head coach Jim Harbaugh indicated that he expects Herbert to improve daily despite the ankle injury.  
5. Herbert underwent X-rays on his right leg on Monday, which returned negative results according to Harbaugh.  
6. The injury occurred during the third quarter of the Week 2 game, where the Chargers won 26-3 against the Panthers.  
7. After the game, Herbert was observed walking with a ""significant limp,"" as reported by ESPN's Kris Rhim.  
8. In the Week 2 game, Herbert completed 14 of 20 passes for 130 yards, two touchdowns, one interception, and lost a fumble on the play where he was injured.  
9. Prior to the injury, Herbert had led the Chargers to a 22-10 season-opening victory over the Las Vegas Raiders with 17 completions on 26 attempts, resulting in one touchdown.  
10. If Herbert is unable to play in the upcoming game, Easton Stick will take over as the starting quarterback, with Taylor Heinicke as the backup.  
11. Herbert has started 34 consecutive regular-season games and accumulated 9,753 passing yards during the 2021 and 2022 seasons.  
12. Herbert's 2023 season was previously interrupted by a season-ending fracture on the index finger of his throwing hand.  "
sport_7.json,https://bleacherreport.com/articles/10136173-uconns-dan-hurley-consulted-bulls-billy-donovan-while-mulling-lakers-hc-contract,"UConn's Dan Hurley Consulted Bulls' Billy Donovan While Mulling Lakers HC Contract Mitchell Layton/Getty Images

When deciding between staying at UConn or accepting a job to be the head coach of the Los Angeles Lakers, Dan Hurley consulted an NBA coach who faced a similar decision more than a decade ago. The Huskies head coach sought advice from Chicago Bulls head coach Billy Donovan, per CT Insider's David Borges. Donovan won a pair of championships at Florida in 2006 and 2007 and was offered the head coaching position for the Orlando Magic, which he initially accepted before retracting his commitment to return to Gainesville. ""We didn't get into the Lakers' situation or their personnel,"" Donovan said. ""I think Danny needed to go through whatever he went through. He was going to be able to find out the inner workings of the Lakers. I don't know anything about that ... Danny had to go through that on his own."" Hurley is coming off back-to-back championships with UConn, but he was offered a job to lead one of the most historic franchises in NBA history as well as one of the greatest players of all time in LeBron James. The allure of the Lakers' head coaching job wasn't enough to pull him from the collegiate ranks just yet, though. ""My whole mindset, the type of coaching that suits me best right now, is certainly college,"" Hurley said, per Borges. ""I want to be able to control my own destiny the best that I can. I schedule my games, I pick the players, I hire my staff. I decide how long we're going to practice, when we're going to practice.""",gpt-4o-mini,dt03,"1. Dan Hurley is the head coach of the UConn men's basketball team.  
2. Hurley consulted Chicago Bulls head coach Billy Donovan while considering a job offer from the Los Angeles Lakers.  
3. Billy Donovan previously accepted a head coaching position with the Orlando Magic before deciding to remain in college coaching.  
4. Donovan won two championships while coaching at the University of Florida in 2006 and 2007.  
5. Hurley has recently led UConn to back-to-back championships.  
6. The Lakers are one of the most historic franchises in NBA history.  
7. The Lakers' head coaching position includes the opportunity to work with LeBron James, one of the greatest players of all time.  
8. Despite the allure of the Lakers job, Hurley decided to remain in college basketball for the time being.  
9. Hurley expressed that his coaching style is better suited for the college level at this point in his career.  
10. Hurley values the autonomy he has in college coaching, including scheduling games and selecting players.  
11. Hurley emphasized the importance of controlling his own destiny in his coaching career.  
12. Donovan did not provide specific insights about the Lakers' situation to Hurley, believing that Hurley needed to navigate the decision on his own.  "
sport_8.json,https://bleacherreport.com/articles/10136171-nick-saban-shades-vanderbilt-says-program-has-only-sec-stadium-not-hard-to-play-at,"Nick Saban Shades Vanderbilt, Says Program Has Only SEC Stadium 'Not Hard to Play' At Brandon Sumrall/Getty Images

Nick Saban may be retired, but the former Alabama head coach didn't hesitate to throw some shade at a former conference opponent. During an appearance on The Pat McAfee Show on Friday, Saban said he felt during his time with the Crimson Tide that Vanderbilt was the easiest environment to play in among SEC teams. ""The only place you're going to play in the SEC that's not hard to play, Vanderbilt. When you play at Vanderbilt, you have more fans there than they have, and that's no disrespect to them, it's the truth,"" Saban said (h/t Steve Samra of On3.com). Vanderbilt plays at FirstBank Stadium in Nashville. The team announced that it had a sellout for its home opener against Virginia Tech in Week 1 with 28,934 fans in attendance. The Commodores defeated the Hokies 34-27 in overtime and followed that up with a 55-0 win at home against Alcorn State before suffering their first loss last week on the road against Georgia State. Still, Nashville is a popular tourist destination, and Saban said he felt there were more Alabama supporters than Vanderbilt fans in attendance when the Crimson Tide would visit. He also explained that other SEC schools presented tougher atmospheres. ""We're at LSU and we go right down the field when Tua [Tagovailoa] is playing and we get down on the 20-yard-line, where the student section is, we got four straight false starts,"" Saban said. ""The players are all going, shaking their heads like, 'I can't hear, I can't hear,' so it forces you to go on silent.",gpt-4o-mini,dt03,"1. Nick Saban, the former Alabama head coach, recently commented on Vanderbilt's playing environment during an appearance on The Pat McAfee Show.  
2. Saban stated that he considered Vanderbilt to be the easiest place to play within the Southeastern Conference (SEC).  
3. He claimed, ""The only place you're going to play in the SEC that's not hard to play, Vanderbilt.""  
4. Saban remarked that during games at Vanderbilt, there often were more fans supporting the visiting team than there were Vanderbilt fans present.  
5. The statement made by Saban was not intended as a disrespect to Vanderbilt but reflected his perception of the situation.  
6. Vanderbilt plays its home games at FirstBank Stadium, located in Nashville.  
7. Vanderbilt announced a sellout attendance of 28,934 fans for its home opener against Virginia Tech.  
8. In their home opener, the Vanderbilt Commodores defeated the Virginia Tech Hokies with a score of 34-27 in overtime.  
9. Following the victory against Virginia Tech, Vanderbilt achieved a significant win of 55-0 against Alcorn State.  
10. Vanderbilt suffered its first loss of the season in a recent game against Georgia State.  
11. Saban noted that Nashville is a popular tourist destination, which may contribute to the presence of more Alabama supporters during games.  
12. He contrasted Vanderbilt's atmosphere with that of other SEC schools, citing an example of difficulties faced at LSU due to the crowd noise affecting player communication."
sport_9.json,https://bleacherreport.com/articles/10136168-fantasy-alert-kareem-hunt-wont-play-for-chiefs-vs-falcons-samaje-perine-to-be-rb1,"Fantasy Alert: Kareem Hunt Won't Play for Chiefs vs. Falcons; Samaje Perine to Be RB1 Cooper Neill/Getty Images

Fantasy football managers should avoid starting veteran running back Kareem Hunt even though he was signed to the Kansas City Chiefs' practice squad on Tuesday.

According to ESPN's Adam Schefter, Chiefs head coach Andy Reid confirmed that Hunt will not be elevated to Kansas City's active roster for a matchup with the Atlanta Falcons on Sunday.

With starting running back Isiah Pacheco currently on injured reserve due to a leg injury, Samaje Perine should see the majority of available snaps in the backfield.

Reid is likely giving Hunt more time to learn the Chiefs' playbook and prepare for his 2024 debut, as he's spent the past five seasons on the Cleveland Browns after his 2018 campaign in Kansas City.

He'll still have time to move up from the practice squad, as Pacheco is expected to miss at least six weeks after suffering a fractured fibula during the team's win over the Cincinnati Bengals in Week 2.

In the meantime, Perine will start for Kansas City on Sunday. The veteran has primarily operated in a complementary role for the Denver Broncos and Cincinnati Bengals over the past two seasons, offering value on the ground and through the air.

Since 2022, Perine has racked up 632 rush yards and 742 receiving yards to go along with seven total touchdowns in 33 appearances.

He's only started three games over that span, but the results are promising. In those three starts, Perine recorded 186 yards on the ground and 157 yards as a receiver. He'll be going up against a Falcons defense that has allowed the sixth-most rushing yards per game throughout the first two weeks of the year.",gpt-4o-mini,dt03,"1. Kareem Hunt will not play for the Kansas City Chiefs against the Atlanta Falcons, despite being signed to the practice squad.  
2. Chiefs head coach Andy Reid confirmed that Hunt will not be elevated to the active roster for the upcoming game.  
3. Isiah Pacheco, the starting running back for the Chiefs, is currently on injured reserve due to a leg injury.  
4. Samaje Perine is expected to take on the majority of snaps in the backfield for the Chiefs in the absence of Pacheco.  
5. Reid is allowing Hunt additional time to learn the Chiefs' playbook in preparation for his potential debut in 2024.  
6. Hunt previously played for the Chiefs during the 2018 season before spending five seasons with the Cleveland Browns.  
7. Pacheco is anticipated to miss at least six weeks due to a fractured fibula sustained during a game against the Cincinnati Bengals.  
8. Samaje Perine will start for the Chiefs on Sunday against the Falcons.  
9. Over the past two seasons, Perine has primarily been in a complementary role with the Denver Broncos and Cincinnati Bengals.  
10. Since 2022, Perine has accumulated 632 rushing yards and 742 receiving yards, along with seven total touchdowns in 33 games.  
11. Perine has only started three games in the past two seasons, during which he gained 186 rushing yards and 157 receiving yards.  
12. The Falcons defense has allowed the sixth-most rushing yards per game in the first two weeks of the current season."
sport_10.json,https://bleacherreport.com/articles/10136132-kenny-omega-update-wwe-aew-rumors-on-kevin-owens-contract-swerve-strickland-return,"Kenny Omega Update; WWE, AEW Rumors on Kevin Owens Contract, Swerve Strickland Return Emma McIntyre

Bleacher Report catches you up on the latest news from the WWE Universe and All Elite Wrestling. Omega Says He's Not Medically Cleared to Wrestle

Kenny Omega has not wrestled since December or appeared on AEW programming in any capacity since May, and comments made by the former AEW world champion on Friday suggest his absence may not be coming to an end any time soon. In a post on X in which he hyped the inclusion of fellow AEW star Samoa Joe in the upcoming Like a Dragon: Pirate Yakuza in Hawaii video game, Omega noted that he is ""not medically cleared"" to compete:

The manner in which Omega revealed the information suggests he could be joking, but he has indeed battled his fair share of health issues since the inception of AEW. His most recent ailment is a bout with diverticulitis. When Omega appeared on an episode of Dynamite in May, he said he required surgery and noted that doctors told him he was lucky to be alive. Omega was then written off TV again due to an attack by Elite members The Young Bucks, Jack Perry and Kazuchika Okada. When Okada signed with AEW, it was an exciting prospect for wrestling fans since it meant the potential reprisal of his classic rivalry with Omega during their time together in New Japan Pro-Wrestling. That is likely still the end goal once Omega returns, but there remains no publicly known timeline for that to happen. When healthy, Omega is widely considered one of the best in-ring wrestlers in the world, and there is no question that he has been sorely missed by AEW fans over the past nine months.",gpt-4o-mini,dt03,"1. Kenny Omega has not wrestled since December 2022 and has not appeared on AEW programming since May 2023.  
2. Kenny Omega announced on social media that he is ""not medically cleared"" to compete in wrestling matches.  
3. Omega's absence from wrestling may continue for an indefinite period, according to his recent comments.  
4. Omega has faced multiple health issues since the inception of AEW, impacting his wrestling career.  
5. The latest health issue Kenny Omega is battling is diverticulitis.  
6. During a May 2023 episode of Dynamite, Omega indicated that he required surgery and was told by doctors that he was lucky to be alive.  
7. Omega was written off AEW television due to an attack by The Young Bucks, Jack Perry, and Kazuchika Okada.  
8. The signing of Kazuchika Okada with AEW generated excitement among fans for a potential revival of his rivalry with Kenny Omega.  
9. There is currently no publicly known timeline for Kenny Omega's return to the ring.  
10. When he is healthy, Kenny Omega is regarded as one of the best in-ring wrestlers in the world.  
11. AEW fans have expressed that they have missed Kenny Omega over the past nine months.  
12. Omega recently promoted the participation of fellow AEW star Samoa Joe in a video game titled Like a Dragon: Pirate Yakuza in Hawaii."
