doc_id,source,document,LLM_q,doc_prompt,reduce_doc
sport_1.json,https://bleacherreport.com/articles/10136185-bengals-tee-higgins-expects-to-make-season-debut-vs-commanders-amid-injury-rehab,"Bengals' Tee Higgins Expects to Make Season Debut vs. Commanders amid Injury Rehab Joe Sargent/Getty Images

Cincinnati Bengals wide receiver Tee Higgins is preparing to make his season debut during the team's Week 3 matchup with the Washington Commanders.

Higgins told reporters on Friday that he ""feels great"" heading into the game, via NFL Network's Cameron Wolfe.

""Finally ready to get my feet wet this season and ready to go,"" he said.

Higgins has missed Cincinnati's first two games of the year after he suffered a hamstring injury in practice on Sept. 5.

It's worth noting that Bengals head coach Zac Taylor hasn't officially confirmed that Higgins will be active against Washington, but it's still a promising sign that the 25-year-old is confident in his ability to return.

He was listed as a limited participant in practice on Thursday and Friday in the Bengals' latest injury report.

Higgins was considered doubtful ahead of Cincinnati's Week 2 loss to the Kansas City Chiefs and he ultimately didn't suit up. He'll have an extra day to prepare for the Commanders, as they're set to clash with the Bengals on Monday Night Football.

The reintroduction of Higgins into Cincinnati's offense should provide a boost to a team that has started the 2024 season with a disappointing 0-2 record. The Bengals have averaged just 272 yards per game through two weeks, ranking No. 24 among all NFL teams.

Although Higgins was limited to just 12 appearances in 2023 due to hamstring issues, he was able to surpass 1,000 receiving yards in each of the prior two seasons.

His potential debut should also make life easier for three-time Pro Bowl wideout Ja'Marr Chase. Chase has been given extra attention from defenses to start the year, which has hampered his overall production. The 24-year-old has recorded just 10 catches for 97 yards in two games.",gpt-4o-mini,dt03,"1. Cincinnati Bengals wide receiver Tee Higgins is preparing to make his season debut during the team's Week 3 matchup against the Washington Commanders.  
2. Tee Higgins expressed to reporters that he ""feels great"" heading into the game, indicating his readiness to return to play.  
3. Higgins missed the Bengals' first two games of the year due to a hamstring injury sustained during practice on September 5.  
4. Bengals head coach Zac Taylor has not officially confirmed Tee Higgins' availability for the game against Washington.  
5. Higgins, who is 25 years old, has shown confidence in his ability to return to the field despite the lack of official confirmation.  
6. Tee Higgins was listed as a limited participant in practice on Thursday and Friday according to the Bengals' latest injury report.  
7. Higgins was considered doubtful to play in Cincinnati's Week 2 loss to the Kansas City Chiefs and ultimately did not participate in that game.  
8. The Bengals will have an extra day to prepare for the Commanders since their game is scheduled for Monday Night Football.  
9. The return of Tee Higgins could provide a significant boost to the Bengals, who have started the 2024 season with a disappointing 0-2 record.  
10. Cincinnati's offense has averaged only 272 yards per game through the first two weeks, ranking No. 24 among all NFL teams.  
11. In the previous two seasons, Tee Higgins surpassed 1,000 receiving yards despite being limited to just 12 appearances in 2023 due to hamstring issues.  
12. The potential return of Higgins may alleviate defensive pressure on fellow wide receiver Ja'Marr Chase, who has struggled with production due to increased defensive attention."
sport_2.json,https://bleacherreport.com/articles/10136181-justin-jefferson-ceedee-lamb-nfl-injury-statuses-and-fantasy-impact-for-week-3,"Justin Jefferson, CeeDee Lamb, NFL Injury Statuses and Fantasy Impact for Week 3 Stephen Maturen/Getty Images

Two of the best wide receivers in the NFL are expected to be on the field for their respective Week 3 games. Justin Jefferson and CeeDee Lamb each received positive prognosis about their injury issues, which is something that can't be said for the rest of the stars across the NFL. Christian McCaffrey is already on injured reserve, Deebo Samuel is out for a weeks and a slew of other running backs and wide receivers are dealing with ailments that could keep them out of Week 3. Below is a look at all of the significant injuries that could affect fantasy football matchups across Week 3. Justin Jefferson Off Injury Report

Justin Jefferson was taken off the Minnesota Vikings injury report on Friday. Jefferson's status was up in the air because of a quad injury, but he practiced well enough this week that the injury is not a concern. The superstar wide out will be needed for Minnesota's home clash with the Houston Texans, which has the potential to be a high-scoring affair. Jefferson is always the primary target in Minnesota when healthy, but he should have more targets in Week 3 because Jordan Addison and T.J. Hockenson are still out. Jefferson earned seven targets from Sam Darnold in Week 2. Only running back Aaron Jones had more than four targets against the New York Giants. Houston's defense may give Jefferson some fits, led by cornerback Derek Stingley Jr. but it has allowed 330 receiving yards to opposing wide outs on just 20 catches through two weeks. Jefferson is an automatic start whenever he's healthy, and his star power may be needed more on certain fantasy rosters in Week 3 depending on how many injuries affect a single roster.",gpt-4o-mini,dt03,"1. Justin Jefferson was removed from the Minnesota Vikings injury report on Friday, indicating he is healthy for Week 3.  
2. Jefferson had been dealing with a quad injury but practiced well enough to no longer be a concern.  
3. Jefferson's performance is crucial for Minnesota's home game against the Houston Texans, which could feature a high score.  
4. With Jordan Addison and T.J. Hockenson out, Jefferson is expected to receive an increased number of targets in Week 3.  
5. In Week 2, Jefferson earned seven targets from quarterback Sam Darnold.  
6. The only player on the Vikings with more than four targets against the New York Giants was running back Aaron Jones.  
7. Houston's defense has struggled, allowing 330 receiving yards to opposing wide receivers on just 20 catches in the first two weeks.  
8. Derek Stingley Jr., a cornerback for Houston, may pose challenges for Jefferson during the game.  
9. CeeDee Lamb is also expected to play in Week 3 after receiving a positive prognosis regarding his injury.  
10. Christian McCaffrey has already been placed on injured reserve, impacting the San Francisco 49ers' offense.  
11. Deebo Samuel is expected to be out for several weeks due to injury, further affecting the 49ers' offensive options.  
12. A significant number of other running backs and wide receivers across the NFL are dealing with injuries that could impact their availability in Week 3."
sport_3.json,https://bleacherreport.com/articles/10136178-browns-myles-garrett-says-he-has-same-injury-in-both-feet-will-continue-to-play,"Browns' Myles Garrett Says He Has Same Injury in Both Feet, Will Continue to Play Peter Joneleit/Icon Sportswire via Getty Images

Cleveland Browns superstar defensive end Myles Garrett is dealing with the same injury to both of his feet, but he'll be active when his team hosts the New York Giants on Sunday. Daryl Ruiter of 92.3 The Fan provided video of Garrett's comments. ""Don't feel 100 percent but feel good enough to go out there and make a difference,"" the reigning Defensive Player of the Year said, per ESPN's Daniel Oyefusi. Garrett didn't practice on Wednesday or Thursday but put in a limited practice on Friday. He provided more context on that schedule, per Camryn Justice of News 5 Cleveland. He is not listed with a game status on the injury report, and head coach Kevin Stefanski said Garrett ""looked like himself"" at practice. Garrett also added the following regarding the potential for surgery:

""We talk about [surgery after the season] but that's something that we'll talk about further down the line,"" Garrett said. ""The issue itself is something that I'll probably have to deal with for however long I end up playing. So it's about managing that and playing through it."" As far as whether this could be a lingering issue, Garrett replied: ""I hope not. Hopefully, in the next couple weeks it will continue to get better until it's something that's not bothering me as consistently as it is."" The injuries are potentially connected to a double foot surgery Garrett had as a boy, per Mary Kay Cabot of cleveland.com and The Plain Dealer. The eight-year veteran has amassed 90.5 career sacks.",gpt-4o-mini,dt03,"1. Myles Garrett, a defensive end for the Cleveland Browns, is experiencing the same injury in both of his feet.  
2. Despite the injuries, Garrett will be active for the game against the New York Giants.  
3. Garrett stated that he does not feel 100 percent but believes he is good enough to contribute to the team's performance.  
4. Garrett did not participate in practice on Wednesday or Thursday but was able to engage in a limited practice on Friday.  
5. Garrett is not listed with a game status on the injury report, indicating he is cleared to play.  
6. Head coach Kevin Stefanski noted that Garrett ""looked like himself"" during practice.  
7. Garrett mentioned that discussions about potential surgery will occur after the season.  
8. Garrett indicated that managing the foot injury will be a long-term issue throughout his playing career.  
9. Garrett expressed hope that his condition will improve in the coming weeks.  
10. The foot injuries may be related to a double foot surgery Garrett underwent as a child.  
11. Myles Garrett has recorded 90.5 career sacks during his eight seasons in the NFL.  
12. Garrett's comments were reported by various sources, including ESPN and local Cleveland media."
sport_4.json,https://bleacherreport.com/articles/10136179-nick-saban-talks-bryce-young-benching-thinks-panthers-roster-added-to-struggles,"Nick Saban Talks Bryce Young Benching, Thinks Panthers' Roster Added to Struggles Jared C. Tilton/Getty Images

After the Carolina Panthers opted to bench Bryce Young after Week 2, one person who knows the young quarterback well chimed in. Nick Saban, who coached Young during his time at Alabama, gave his thoughts on the Panthers' decision to bench the 2023 No. 1 overall pick on the Pat McAfee Show on Friday, saying that Carolina didn't have a roster that could allow Young to find success early in his career. ""You guys have heard me say before, quarterback is a really hard position to play if the people around you don't play well,"" Saban said (3:11 mark). ""Now I think sometimes the quarterback gets too much credit and I also think sometimes when things don't go well, the quarterback gets too much blame. Do they have the kind of players around Bryce Young that even gives him a chance to be successful? That's one of the bad things about being the first guy picked in the draft, you may go to a team that doesn't have all the pieces that you need... Carolina did not and they have to build this thing from the ground up. I hate to see Bryce get benched, but I also don't see a lot of opportunity for him to be successful based on the skill players they have around him, the offensive line they have around him and I think he's the type of player that can operate well when he has good players around him."" Young had a forgetful rookie year, throwing for 2,877 passing yards, 11 touchdowns and 10 interceptions as the Panthers finished a league-worst 2-15.",gpt-4o-mini,dt03,"1. Nick Saban is the former coach of Bryce Young during his time at Alabama.  
2. The Carolina Panthers benched Bryce Young after Week 2 of the NFL season.  
3. Bryce Young was the No. 1 overall pick in the 2023 NFL Draft.  
4. Nick Saban discussed the Panthers' decision on the Pat McAfee Show.  
5. Saban believes that the Panthers' roster is not conducive to Bryce Young's success as a rookie.  
6. According to Saban, playing quarterback is particularly challenging when teammates do not perform well.  
7. Saban stated that quarterbacks can receive either too much credit or too much blame for team performance.  
8. Saban expressed concern that the Panthers lack the necessary pieces for Bryce Young to succeed.  
9. Saban criticized the situation of first overall draft picks who may join struggling teams.  
10. Saban noted that the Panthers need to rebuild their team from the ground up.  
11. Bryce Young's rookie season included 2,877 passing yards, 11 touchdowns, and 10 interceptions.  
12. The Carolina Panthers finished the season with a league-worst record of 2-15."
sport_5.json,https://bleacherreport.com/articles/10136174-baker-mayfield-says-tom-brady-stressed-out-buccaneers-players-in-last-3-nfl-seasons,"Baker Mayfield Says Tom Brady 'Stressed Out' Buccaneers Players in Last 3 NFL Seasons Steven King/Icon Sportswire via Getty Images

Tampa Bay Buccaneers quarterback Baker Mayfield gave insight into how the team's culture has changed after his predecessor, seven-time Super Bowl champion Tom Brady, retired in 2023. Mayfield, who is in his second season as the Bucs' QB1, made his remarks on the Casa De Klub podcast with ex-MLB star pitcher Corey Kluber (h/t Tom Viera of USA Today). ""The building was a little bit different with Tom in there,"" Mayfield said in part (3:35 mark). ""Obviously, playing-wise, Tom is different. He had everybody dialed in, high-strung environment, so I think everybody was pretty stressed out."" Mayfield also said that the expectation when he came in to replace Brady was to be himself and to ""bring the joy back to football for some of the guys that weren't having as much fun."" As Mayfield himself noted, he and Brady have ""very different personalities,"" and his focus was just to be himself and not fill his shoes. Mayfield also stressed that he had to do things his own way. He later added (47:20 mark): ""You hear some of the stories about if he didn't like a certain play call and he didn't like it throughout the week and they still call it in the game, there might have been a throwaway on purpose or throwing it at the running back or receiver's feet. There were a lot of mind games going on."" Brady certainly found success in Tampa Bay, leading the team to the playoffs in all three of his seasons and guiding the Bucs to a Super Bowl victory to cap the 2020 campaign.",gpt-4o-mini,dt03,"1. Baker Mayfield is currently the starting quarterback for the Tampa Bay Buccaneers in his second season with the team.  
2. Tom Brady, a seven-time Super Bowl champion, retired in 2023, which marked a significant change in the Buccaneers' team culture.  
3. Mayfield discussed the differences in team dynamics on the Casa De Klub podcast with former MLB pitcher Corey Kluber.  
4. Mayfield described the environment in the Buccaneers' facility as ""high-strung"" during Brady's tenure.  
5. According to Mayfield, the presence of Brady created a stressful atmosphere for the Buccaneers players.  
6. Mayfield emphasized the importance of being himself and bringing joy back to football for his teammates after replacing Brady.  
7. Mayfield remarked that he and Brady have very different personalities, influencing their approaches to the game.  
8. Mayfield acknowledged that he had to do things in his own way, rather than trying to emulate Brady.  
9. Mayfield shared that Brady would sometimes intentionally throw the ball away if he disagreed with a play call.  
10. Mayfield noted that Brady engaged in ""mind games"" with the coaching staff regarding play calls.  
11. During his three seasons with the Buccaneers, Brady led the team to the playoffs each year.  
12. Brady's leadership culminated in a Super Bowl victory for the Buccaneers at the end of the 2020 season."
sport_6.json,https://bleacherreport.com/articles/10135965-chargers-justin-herbert-says-injury-is-high-ankle-sprain-status-vs-steelers-tbd,"Chargers' Justin Herbert Says Injury Is High Ankle Sprain; Status vs. Steelers TBD David Jensen/Icon Sportswire via Getty Images

Los Angeles Chargers quarterback Justin Herbert told reporters Friday that he is dealing with a high-ankle sprain suffered during the team's Week 2 win over the Carolina Panthers.

Herbert said that while the pain related to the injury is ""not great,"" his status for the team's Week 3 road game against the Pittsburgh Steelers on Sunday is to be determined.

NFL Network's Ian Rapoport (h/t Geoffrey C. Arnold of The Oregonian) reported that Herbert was ""extremely limited"" during Thursday's practice.

Chargers head coach Jim Harbaugh told reporters on Wednesday that Herbert was dealing with an ankle injury, and that he expected the quarterback ""to get better every day.""

""I was in a meeting with him,"" Harbaugh said. ""Said he was feeling much better and good today.""

Herbert underwent X-rays on his right leg on Monday which came back negative, Harbaugh told reporters.

The Chargers quarterback was injured during Week 2's 26-3 win over the Panthers after taking a hit in the third quarter. He did not miss any playing time, but he was seen walking with a ""significant limp"" after the game, per ESPN's Kris Rhim.

Herbert finished Week 2's game having gone 14-of-20 for 130 yards, two touchdowns, an interception and a fumble lost on the play during which he was injured.

He had previously led the Chargers to a 22-10 season-opening win over the Las Vegas Raiders at home with 17-of-26 passing for a touchdown and no picks.

If Herbert is unable to play, the Chargers will turn to Easton Stick, with Taylor Heinicke serving as backup.

Herbert started 34 straight regular-season games while amassing 9,753 passing yards through 2021 and 2022, but his 2023 campaign was cut short by a season-ending fracture on the index finger of his throwing hand.",gpt-4o-mini,dt03,"1. Justin Herbert, the quarterback for the Los Angeles Chargers, has a high-ankle sprain that he sustained during the team's Week 2 victory over the Carolina Panthers.  
2. Herbert described the pain from the injury as ""not great,"" and his status for the Week 3 game against the Pittsburgh Steelers is uncertain.  
3. NFL Network's Ian Rapoport reported that Herbert was ""extremely limited"" during practice on Thursday.  
4. Chargers head coach Jim Harbaugh indicated on Wednesday that Herbert is dealing with an ankle injury and expects him to improve daily.  
5. Harbaugh mentioned that Herbert had expressed feeling ""much better"" during a meeting earlier in the week.  
6. After the injury, Herbert underwent X-rays on his right leg, which returned negative results according to Harbaugh.  
7. Herbert was injured in the third quarter of the Week 2 game, which the Chargers won 26-3 against the Panthers.  
8. Despite the injury, Herbert did not miss any playing time during the Week 2 game but was seen with a ""significant limp"" post-game.  
9. In the Week 2 game, Herbert completed 14 of 20 passes for 130 yards, along with two touchdowns, one interception, and a fumble.  
10. Earlier in the season, Herbert led the Chargers to a 22-10 victory over the Las Vegas Raiders, completing 17 of 26 passes with one touchdown and no interceptions.  
11. Should Herbert be unable to play, the Chargers plan to use Easton Stick as the starting quarterback, with Taylor Heinicke as the backup.  
12. Over the course of 2021 and 2022, Herbert started 34 consecutive regular-season games and accumulated 9,753 passing yards, but his 2023 season was interrupted by a finger fracture on his throwing hand.  "
sport_7.json,https://bleacherreport.com/articles/10136173-uconns-dan-hurley-consulted-bulls-billy-donovan-while-mulling-lakers-hc-contract,"UConn's Dan Hurley Consulted Bulls' Billy Donovan While Mulling Lakers HC Contract Mitchell Layton/Getty Images

When deciding between staying at UConn or accepting a job to be the head coach of the Los Angeles Lakers, Dan Hurley consulted an NBA coach who faced a similar decision more than a decade ago. The Huskies head coach sought advice from Chicago Bulls head coach Billy Donovan, per CT Insider's David Borges. Donovan won a pair of championships at Florida in 2006 and 2007 and was offered the head coaching position for the Orlando Magic, which he initially accepted before retracting his commitment to return to Gainesville. ""We didn't get into the Lakers' situation or their personnel,"" Donovan said. ""I think Danny needed to go through whatever he went through. He was going to be able to find out the inner workings of the Lakers. I don't know anything about that ... Danny had to go through that on his own."" Hurley is coming off back-to-back championships with UConn, but he was offered a job to lead one of the most historic franchises in NBA history as well as one of the greatest players of all time in LeBron James. The allure of the Lakers' head coaching job wasn't enough to pull him from the collegiate ranks just yet, though. ""My whole mindset, the type of coaching that suits me best right now, is certainly college,"" Hurley said, per Borges. ""I want to be able to control my own destiny the best that I can. I schedule my games, I pick the players, I hire my staff. I decide how long we're going to practice, when we're going to practice.""",gpt-4o-mini,dt03,"1. Dan Hurley, the head coach of UConn, considered accepting the head coaching position for the Los Angeles Lakers.  
2. Hurley sought advice from Billy Donovan, the head coach of the Chicago Bulls, who had faced a similar decision in the past.  
3. Billy Donovan won two championships while coaching at the University of Florida in 2006 and 2007.  
4. Donovan was offered the head coaching position for the Orlando Magic, which he initially accepted before deciding to remain at Florida.  
5. Donovan stated that he and Hurley did not discuss the Lakers' situation or their personnel during their conversation.  
6. Hurley is coming off two consecutive championships with UConn, highlighting his successful tenure in college basketball.  
7. The Los Angeles Lakers are one of the most historic franchises in NBA history.  
8. LeBron James is recognized as one of the greatest players of all time and plays for the Los Angeles Lakers.  
9. Despite the opportunity, Dan Hurley ultimately decided to remain in the college coaching ranks.  
10. Hurley expressed that his current coaching mindset aligns better with college basketball.  
11. Hurley values the ability to control various aspects of his coaching role, such as scheduling games and selecting players.  
12. Hurley prefers to decide on practice schedules and durations as part of his coaching autonomy.  "
sport_8.json,https://bleacherreport.com/articles/10136171-nick-saban-shades-vanderbilt-says-program-has-only-sec-stadium-not-hard-to-play-at,"Nick Saban Shades Vanderbilt, Says Program Has Only SEC Stadium 'Not Hard to Play' At Brandon Sumrall/Getty Images

Nick Saban may be retired, but the former Alabama head coach didn't hesitate to throw some shade at a former conference opponent. During an appearance on The Pat McAfee Show on Friday, Saban said he felt during his time with the Crimson Tide that Vanderbilt was the easiest environment to play in among SEC teams. ""The only place you're going to play in the SEC that's not hard to play, Vanderbilt. When you play at Vanderbilt, you have more fans there than they have, and that's no disrespect to them, it's the truth,"" Saban said (h/t Steve Samra of On3.com). Vanderbilt plays at FirstBank Stadium in Nashville. The team announced that it had a sellout for its home opener against Virginia Tech in Week 1 with 28,934 fans in attendance. The Commodores defeated the Hokies 34-27 in overtime and followed that up with a 55-0 win at home against Alcorn State before suffering their first loss last week on the road against Georgia State. Still, Nashville is a popular tourist destination, and Saban said he felt there were more Alabama supporters than Vanderbilt fans in attendance when the Crimson Tide would visit. He also explained that other SEC schools presented tougher atmospheres. ""We're at LSU and we go right down the field when Tua [Tagovailoa] is playing and we get down on the 20-yard-line, where the student section is, we got four straight false starts,"" Saban said. ""The players are all going, shaking their heads like, 'I can't hear, I can't hear,' so it forces you to go on silent.",gpt-4o-mini,dt03,"1. Nick Saban, the former Alabama head coach, expressed his opinion about Vanderbilt's home game environment during an appearance on The Pat McAfee Show.  
2. Saban stated that he considered Vanderbilt to be the easiest SEC stadium to play in.  
3. He claimed that during his time with Alabama, there were often more Alabama fans than Vanderbilt fans present at games in Nashville.  
4. Saban emphasized that his comments about Vanderbilt were not meant to be disrespectful, but rather an observation based on experience.  
5. Vanderbilt plays its home games at FirstBank Stadium, located in Nashville, Tennessee.  
6. The Commodores announced a sellout crowd of 28,934 fans for their home opener against Virginia Tech.  
7. Vanderbilt defeated Virginia Tech 34-27 in an overtime match during their home opener.  
8. Following the victory over Virginia Tech, Vanderbilt achieved a 55-0 win at home against Alcorn State.  
9. Vanderbilt experienced its first loss of the season on the road against Georgia State.  
10. Nick Saban compared the atmosphere at Vanderbilt to that of other SEC schools, highlighting that other venues were more challenging for players.  
11. Saban recalled an experience at LSU where Alabama players faced communication difficulties due to a loud student section, leading to multiple false starts.  
12. Nashville is recognized as a popular tourist destination, which may contribute to the presence of Alabama supporters at Vanderbilt games.  "
sport_9.json,https://bleacherreport.com/articles/10136168-fantasy-alert-kareem-hunt-wont-play-for-chiefs-vs-falcons-samaje-perine-to-be-rb1,"Fantasy Alert: Kareem Hunt Won't Play for Chiefs vs. Falcons; Samaje Perine to Be RB1 Cooper Neill/Getty Images

Fantasy football managers should avoid starting veteran running back Kareem Hunt even though he was signed to the Kansas City Chiefs' practice squad on Tuesday.

According to ESPN's Adam Schefter, Chiefs head coach Andy Reid confirmed that Hunt will not be elevated to Kansas City's active roster for a matchup with the Atlanta Falcons on Sunday.

With starting running back Isiah Pacheco currently on injured reserve due to a leg injury, Samaje Perine should see the majority of available snaps in the backfield.

Reid is likely giving Hunt more time to learn the Chiefs' playbook and prepare for his 2024 debut, as he's spent the past five seasons on the Cleveland Browns after his 2018 campaign in Kansas City.

He'll still have time to move up from the practice squad, as Pacheco is expected to miss at least six weeks after suffering a fractured fibula during the team's win over the Cincinnati Bengals in Week 2.

In the meantime, Perine will start for Kansas City on Sunday. The veteran has primarily operated in a complementary role for the Denver Broncos and Cincinnati Bengals over the past two seasons, offering value on the ground and through the air.

Since 2022, Perine has racked up 632 rush yards and 742 receiving yards to go along with seven total touchdowns in 33 appearances.

He's only started three games over that span, but the results are promising. In those three starts, Perine recorded 186 yards on the ground and 157 yards as a receiver. He'll be going up against a Falcons defense that has allowed the sixth-most rushing yards per game throughout the first two weeks of the year.",gpt-4o-mini,dt03,"1. Kareem Hunt will not play in the Kansas City Chiefs' upcoming game against the Atlanta Falcons.  
2. Hunt was signed to the Chiefs' practice squad but will not be elevated to the active roster for this week's game.  
3. Isiah Pacheco, the starting running back for the Chiefs, is currently on injured reserve due to a leg injury.  
4. Samaje Perine is expected to be the primary running back for the Chiefs in the absence of Pacheco.  
5. Chiefs head coach Andy Reid is allowing Hunt additional time to learn the playbook in preparation for his 2024 debut.  
6. Kareem Hunt previously played for the Chiefs during the 2018 season before spending five seasons with the Cleveland Browns.  
7. Pacheco is expected to miss at least six weeks due to a fractured fibula sustained during a game against the Cincinnati Bengals.  
8. Samaje Perine has primarily served in a complementary role for the Denver Broncos and Cincinnati Bengals in recent seasons.  
9. Since 2022, Perine has accumulated 632 rushing yards and 742 receiving yards while scoring seven total touchdowns.  
10. Perine has started only three games since 2022, achieving 186 rushing yards and 157 receiving yards in those starts.  
11. The Falcons' defense has allowed the sixth-most rushing yards per game in the first two weeks of the season.  
12. Perine's performance in his limited starts suggests he can provide effective contributions both on the ground and through the air."
sport_10.json,https://bleacherreport.com/articles/10136132-kenny-omega-update-wwe-aew-rumors-on-kevin-owens-contract-swerve-strickland-return,"Kenny Omega Update; WWE, AEW Rumors on Kevin Owens Contract, Swerve Strickland Return Emma McIntyre

Bleacher Report catches you up on the latest news from the WWE Universe and All Elite Wrestling. Omega Says He's Not Medically Cleared to Wrestle

Kenny Omega has not wrestled since December or appeared on AEW programming in any capacity since May, and comments made by the former AEW world champion on Friday suggest his absence may not be coming to an end any time soon. In a post on X in which he hyped the inclusion of fellow AEW star Samoa Joe in the upcoming Like a Dragon: Pirate Yakuza in Hawaii video game, Omega noted that he is ""not medically cleared"" to compete:

The manner in which Omega revealed the information suggests he could be joking, but he has indeed battled his fair share of health issues since the inception of AEW. His most recent ailment is a bout with diverticulitis. When Omega appeared on an episode of Dynamite in May, he said he required surgery and noted that doctors told him he was lucky to be alive. Omega was then written off TV again due to an attack by Elite members The Young Bucks, Jack Perry and Kazuchika Okada. When Okada signed with AEW, it was an exciting prospect for wrestling fans since it meant the potential reprisal of his classic rivalry with Omega during their time together in New Japan Pro-Wrestling. That is likely still the end goal once Omega returns, but there remains no publicly known timeline for that to happen. When healthy, Omega is widely considered one of the best in-ring wrestlers in the world, and there is no question that he has been sorely missed by AEW fans over the past nine months.",gpt-4o-mini,dt03,"1. Kenny Omega has not wrestled since December and has not appeared on AEW programming since May.  
2. Omega stated in a post on X that he is ""not medically cleared"" to compete.  
3. There is speculation that Omega's comment about not being medically cleared may have been made in a joking manner.  
4. Omega has been dealing with various health issues since AEW's inception, including a recent bout with diverticulitis.  
5. In May, Omega mentioned that he required surgery and that doctors told him he was lucky to be alive.  
6. Omega was written off television following an attack by Elite members The Young Bucks, Jack Perry, and Kazuchika Okada.  
7. The signing of Kazuchika Okada with AEW has generated excitement among wrestling fans due to the potential revival of his rivalry with Omega.  
8. There is currently no publicly known timeline for Omega's return to wrestling.  
9. When healthy, Kenny Omega is regarded as one of the best in-ring wrestlers in the world.  
10. The absence of Omega has been felt significantly by AEW fans over the past nine months.  
11. Omega's involvement in the upcoming Like a Dragon: Pirate Yakuza in Hawaii video game was mentioned in his recent social media post.  
12. Omega's health struggles have had a major impact on his career and AEW's programming."
