doc_id,source,document,LLM_q,doc_prompt,reduce_doc,modify_doc
sport_1.json,https://bleacherreport.com/articles/10136185-bengals-tee-higgins-expects-to-make-season-debut-vs-commanders-amid-injury-rehab,"Bengals' Tee Higgins Expects to Make Season Debut vs. Commanders amid Injury Rehab Joe Sargent/Getty Images

Cincinnati Bengals wide receiver Tee Higgins is preparing to make his season debut during the team's Week 3 matchup with the Washington Commanders.

Higgins told reporters on Friday that he ""feels great"" heading into the game, via NFL Network's Cameron Wolfe.

""Finally ready to get my feet wet this season and ready to go,"" he said.

Higgins has missed Cincinnati's first two games of the year after he suffered a hamstring injury in practice on Sept. 5.

It's worth noting that Bengals head coach Zac Taylor hasn't officially confirmed that Higgins will be active against Washington, but it's still a promising sign that the 25-year-old is confident in his ability to return.

He was listed as a limited participant in practice on Thursday and Friday in the Bengals' latest injury report.

Higgins was considered doubtful ahead of Cincinnati's Week 2 loss to the Kansas City Chiefs and he ultimately didn't suit up. He'll have an extra day to prepare for the Commanders, as they're set to clash with the Bengals on Monday Night Football.

The reintroduction of Higgins into Cincinnati's offense should provide a boost to a team that has started the 2024 season with a disappointing 0-2 record. The Bengals have averaged just 272 yards per game through two weeks, ranking No. 24 among all NFL teams.

Although Higgins was limited to just 12 appearances in 2023 due to hamstring issues, he was able to surpass 1,000 receiving yards in each of the prior two seasons.

His potential debut should also make life easier for three-time Pro Bowl wideout Ja'Marr Chase. Chase has been given extra attention from defenses to start the year, which has hampered his overall production. The 24-year-old has recorded just 10 catches for 97 yards in two games.",gpt-4o-mini,dt03,"1. Tee Higgins plays for the Cincinnati Bengals football team.  
2. He is getting ready to play in his first game of the season.  
3. The game is against the Washington Commanders.  
4. Tee Higgins feels good and is excited to play.  
5. He missed the first two games because of a leg injury.  
6. The injury happened during practice on September 5.  
7. The coach has not said for sure that Higgins will play.  
8. Higgins practiced with the team before the game.  
9. The Bengals have lost their first two games this season.  
10. The team has not done well, averaging 272 yards per game.  
11. Higgins has played only 12 games last year because of injuries.  
12. His return will help his teammate Ja'Marr Chase play better.","1. Tee Higgins plays for the Cincinnati Bengals.
4. The injury occurred in the first week of training camp.
7. Tee Higgins is optimistic about his recovery and readiness to play.
10. The coaching staff is monitoring his progress closely."
sport_2.json,https://bleacherreport.com/articles/10136181-justin-jefferson-ceedee-lamb-nfl-injury-statuses-and-fantasy-impact-for-week-3,"Justin Jefferson, CeeDee Lamb, NFL Injury Statuses and Fantasy Impact for Week 3 Stephen Maturen/Getty Images

Two of the best wide receivers in the NFL are expected to be on the field for their respective Week 3 games. Justin Jefferson and CeeDee Lamb each received positive prognosis about their injury issues, which is something that can't be said for the rest of the stars across the NFL. Christian McCaffrey is already on injured reserve, Deebo Samuel is out for a weeks and a slew of other running backs and wide receivers are dealing with ailments that could keep them out of Week 3. Below is a look at all of the significant injuries that could affect fantasy football matchups across Week 3. Justin Jefferson Off Injury Report

Justin Jefferson was taken off the Minnesota Vikings injury report on Friday. Jefferson's status was up in the air because of a quad injury, but he practiced well enough this week that the injury is not a concern. The superstar wide out will be needed for Minnesota's home clash with the Houston Texans, which has the potential to be a high-scoring affair. Jefferson is always the primary target in Minnesota when healthy, but he should have more targets in Week 3 because Jordan Addison and T.J. Hockenson are still out. Jefferson earned seven targets from Sam Darnold in Week 2. Only running back Aaron Jones had more than four targets against the New York Giants. Houston's defense may give Jefferson some fits, led by cornerback Derek Stingley Jr. but it has allowed 330 receiving yards to opposing wide outs on just 20 catches through two weeks. Jefferson is an automatic start whenever he's healthy, and his star power may be needed more on certain fantasy rosters in Week 3 depending on how many injuries affect a single roster.",gpt-4o-mini,dt03,"1. Justin Jefferson and CeeDee Lamb are two of the best wide receivers in the NFL.  
2. Justin Jefferson is not hurt anymore and will play in Week 3.  
3. CeeDee Lamb is also expected to play in his game.  
4. Christian McCaffrey is hurt and cannot play right now.  
5. Deebo Samuel will be out for a few weeks because of his injury.  
6. Many other players have injuries that might keep them from playing in Week 3.  
7. Justin Jefferson had a quad injury but practiced well and is fine now.  
8. Jefferson will play against the Houston Texans this week.  
9. Jefferson usually gets a lot of passes thrown to him when he is healthy.  
10. He will get even more passes this week because other players are also hurt.  
11. Houston's defense has allowed a lot of yards to other wide receivers so far.  
12. Jefferson is a very important player for fantasy football teams when he is healthy.  ","1. Christian McCaffrey is currently out due to injury, impacting the Carolina Panthers' offensive strategy.
2. Both players are known for their speed, agility, and ability to make big plays.
3. CeeDee Lamb has also been performing well and is a key player for the Dallas Cowboys.
4. The Dallas Cowboys are looking to bounce back after a tough loss last week.
5. The Carolina Panthers are struggling to find a replacement for McCaffrey in their offense.
6. The San Francisco 49ers are facing challenges with injuries to key players this season.
7. Justin Jefferson has been sidelined with an injury but is expected to return soon.
8. Jefferson's return is a boost for the Minnesota Vikings as they aim for a playoff spot.
9. CeeDee Lamb is expected to have a strong performance this week as well.
10. The matchup this week is highly anticipated as two star wide receivers face off against each other.
11. The Dallas Cowboys' offense is relying heavily on Lamb in the absence of injured teammates.
12. The matchup against the Texans presents a good opportunity for both Jefferson and Lamb to excel."
sport_3.json,https://bleacherreport.com/articles/10136178-browns-myles-garrett-says-he-has-same-injury-in-both-feet-will-continue-to-play,"Browns' Myles Garrett Says He Has Same Injury in Both Feet, Will Continue to Play Peter Joneleit/Icon Sportswire via Getty Images

Cleveland Browns superstar defensive end Myles Garrett is dealing with the same injury to both of his feet, but he'll be active when his team hosts the New York Giants on Sunday. Daryl Ruiter of 92.3 The Fan provided video of Garrett's comments. ""Don't feel 100 percent but feel good enough to go out there and make a difference,"" the reigning Defensive Player of the Year said, per ESPN's Daniel Oyefusi. Garrett didn't practice on Wednesday or Thursday but put in a limited practice on Friday. He provided more context on that schedule, per Camryn Justice of News 5 Cleveland. He is not listed with a game status on the injury report, and head coach Kevin Stefanski said Garrett ""looked like himself"" at practice. Garrett also added the following regarding the potential for surgery:

""We talk about [surgery after the season] but that's something that we'll talk about further down the line,"" Garrett said. ""The issue itself is something that I'll probably have to deal with for however long I end up playing. So it's about managing that and playing through it."" As far as whether this could be a lingering issue, Garrett replied: ""I hope not. Hopefully, in the next couple weeks it will continue to get better until it's something that's not bothering me as consistently as it is."" The injuries are potentially connected to a double foot surgery Garrett had as a boy, per Mary Kay Cabot of cleveland.com and The Plain Dealer. The eight-year veteran has amassed 90.5 career sacks.",gpt-4o-mini,dt03,"1. Myles Garrett plays for the Cleveland Browns.  
2. He has the same injury in both of his feet.  
3. Garrett will still play in the game against the New York Giants.  
4. He does not feel 100 percent but feels good enough to play.  
5. Garrett did not practice on Wednesday or Thursday.  
6. He practiced a little on Friday before the game.  
7. He is not listed as injured for the game.  
8. The coach thinks Garrett looked good at practice.  
9. Garrett might need surgery after the season.  
10. He has to manage his foot problem while playing.  
11. Garrett hopes his injury will get better soon.  
12. He has made 90.5 sacks in his football career.  ","1. Myles Garrett is a player for the Cleveland Browns.
4. The injury is affecting his ability to play at full capacity.
7. The team is hopeful he will recover in time for the next game.
10. Garrett is considered one of the top defensive players in the league."
sport_4.json,https://bleacherreport.com/articles/10136179-nick-saban-talks-bryce-young-benching-thinks-panthers-roster-added-to-struggles,"Nick Saban Talks Bryce Young Benching, Thinks Panthers' Roster Added to Struggles Jared C. Tilton/Getty Images

After the Carolina Panthers opted to bench Bryce Young after Week 2, one person who knows the young quarterback well chimed in. Nick Saban, who coached Young during his time at Alabama, gave his thoughts on the Panthers' decision to bench the 2023 No. 1 overall pick on the Pat McAfee Show on Friday, saying that Carolina didn't have a roster that could allow Young to find success early in his career. ""You guys have heard me say before, quarterback is a really hard position to play if the people around you don't play well,"" Saban said (3:11 mark). ""Now I think sometimes the quarterback gets too much credit and I also think sometimes when things don't go well, the quarterback gets too much blame. Do they have the kind of players around Bryce Young that even gives him a chance to be successful? That's one of the bad things about being the first guy picked in the draft, you may go to a team that doesn't have all the pieces that you need... Carolina did not and they have to build this thing from the ground up. I hate to see Bryce get benched, but I also don't see a lot of opportunity for him to be successful based on the skill players they have around him, the offensive line they have around him and I think he's the type of player that can operate well when he has good players around him."" Young had a forgetful rookie year, throwing for 2,877 passing yards, 11 touchdowns and 10 interceptions as the Panthers finished a league-worst 2-15.",gpt-4o-mini,dt03,"1. Nick Saban used to coach Bryce Young at Alabama.  
2. Bryce Young was the first player picked in the 2023 NFL Draft.  
3. The Carolina Panthers benched Bryce Young after Week 2.  
4. Nick Saban thinks the Panthers' team is not good enough to help Bryce Young succeed.  
5. Saban believes being a quarterback is very hard without good teammates.  
6. Sometimes, quarterbacks get too much credit when things go well.  
7. Sometimes, quarterbacks get too much blame when things go wrong.  
8. The Panthers need to build their team from the ground up.  
9. Saban does not like that Bryce Young was benched.  
10. Young had a tough first year in the NFL.  
11. He threw for 2,877 yards in his rookie year.  
12. The Panthers won only 2 games and lost 15 games last season.  ","1. Bryce Young played college football at the University of Alabama.
4. Young was a standout quarterback at Alabama, leading the team to a national championship appearance.
7. Young has been compared to other successful quarterbacks who made the transition from college to the NFL.
10. Carolina Panthers' head coach Frank Reich has expressed confidence in Young's abilities and potential."
sport_5.json,https://bleacherreport.com/articles/10136174-baker-mayfield-says-tom-brady-stressed-out-buccaneers-players-in-last-3-nfl-seasons,"Baker Mayfield Says Tom Brady 'Stressed Out' Buccaneers Players in Last 3 NFL Seasons Steven King/Icon Sportswire via Getty Images

Tampa Bay Buccaneers quarterback Baker Mayfield gave insight into how the team's culture has changed after his predecessor, seven-time Super Bowl champion Tom Brady, retired in 2023. Mayfield, who is in his second season as the Bucs' QB1, made his remarks on the Casa De Klub podcast with ex-MLB star pitcher Corey Kluber (h/t Tom Viera of USA Today). ""The building was a little bit different with Tom in there,"" Mayfield said in part (3:35 mark). ""Obviously, playing-wise, Tom is different. He had everybody dialed in, high-strung environment, so I think everybody was pretty stressed out."" Mayfield also said that the expectation when he came in to replace Brady was to be himself and to ""bring the joy back to football for some of the guys that weren't having as much fun."" As Mayfield himself noted, he and Brady have ""very different personalities,"" and his focus was just to be himself and not fill his shoes. Mayfield also stressed that he had to do things his own way. He later added (47:20 mark): ""You hear some of the stories about if he didn't like a certain play call and he didn't like it throughout the week and they still call it in the game, there might have been a throwaway on purpose or throwing it at the running back or receiver's feet. There were a lot of mind games going on."" Brady certainly found success in Tampa Bay, leading the team to the playoffs in all three of his seasons and guiding the Bucs to a Super Bowl victory to cap the 2020 campaign.",gpt-4o-mini,dt03,"1. Baker Mayfield is the quarterback for the Tampa Bay Buccaneers.  
2. Tom Brady retired in 2023 after three seasons with the Buccaneers.  
3. Mayfield says the team was different when Brady was there.  
4. Tom Brady made the players feel stressed out.  
5. Mayfield wants the players to have more fun playing football.  
6. Mayfield thinks he has a different personality than Brady.  
7. He wants to be himself and not try to be like Brady.  
8. Mayfield aims to bring joy back to the team.  
9. Brady was very serious about his game.  
10. Players had to be very focused when Brady was their leader.  
11. Brady sometimes did mind games if he didn’t like a play.  
12. Brady helped the Buccaneers reach the playoffs and win a Super Bowl.  ","1. Tom Brady is considered one of the greatest quarterbacks in NFL history.
2. Tom Brady retired after the 2022 NFL season.
3. Baker Mayfield joined the Buccaneers in 2023 as the starting quarterback.
4. The Buccaneers won the Super Bowl with Brady in the 2020 season.
5. Many players felt pressure to meet Brady's high standards.
6. He believes that enjoying the game will improve their performance.
7. Mayfield acknowledges the legacy Brady left behind.
8. Mayfield aims to establish his own leadership style.
9. He hopes to create a more relaxed atmosphere during practices and games.
10. The Buccaneers are looking to rebuild and move forward after Brady's departure.
11. The team struggled with the intense atmosphere under Brady's leadership.
12. Mayfield encourages open communication among teammates to foster camaraderie."
sport_6.json,https://bleacherreport.com/articles/10135965-chargers-justin-herbert-says-injury-is-high-ankle-sprain-status-vs-steelers-tbd,"Chargers' Justin Herbert Says Injury Is High Ankle Sprain; Status vs. Steelers TBD David Jensen/Icon Sportswire via Getty Images

Los Angeles Chargers quarterback Justin Herbert told reporters Friday that he is dealing with a high-ankle sprain suffered during the team's Week 2 win over the Carolina Panthers.

Herbert said that while the pain related to the injury is ""not great,"" his status for the team's Week 3 road game against the Pittsburgh Steelers on Sunday is to be determined.

NFL Network's Ian Rapoport (h/t Geoffrey C. Arnold of The Oregonian) reported that Herbert was ""extremely limited"" during Thursday's practice.

Chargers head coach Jim Harbaugh told reporters on Wednesday that Herbert was dealing with an ankle injury, and that he expected the quarterback ""to get better every day.""

""I was in a meeting with him,"" Harbaugh said. ""Said he was feeling much better and good today.""

Herbert underwent X-rays on his right leg on Monday which came back negative, Harbaugh told reporters.

The Chargers quarterback was injured during Week 2's 26-3 win over the Panthers after taking a hit in the third quarter. He did not miss any playing time, but he was seen walking with a ""significant limp"" after the game, per ESPN's Kris Rhim.

Herbert finished Week 2's game having gone 14-of-20 for 130 yards, two touchdowns, an interception and a fumble lost on the play during which he was injured.

He had previously led the Chargers to a 22-10 season-opening win over the Las Vegas Raiders at home with 17-of-26 passing for a touchdown and no picks.

If Herbert is unable to play, the Chargers will turn to Easton Stick, with Taylor Heinicke serving as backup.

Herbert started 34 straight regular-season games while amassing 9,753 passing yards through 2021 and 2022, but his 2023 campaign was cut short by a season-ending fracture on the index finger of his throwing hand.",gpt-4o-mini,dt03,"1. Justin Herbert is the quarterback for the Los Angeles Chargers.  
2. He has a hurt ankle called a high-ankle sprain.  
3. Herbert got hurt during a game against the Carolina Panthers.  
4. He said the pain from his injury is not very good.  
5. It is not yet decided if he will play against the Pittsburgh Steelers.  
6. Herbert could not practice much on Thursday because of his injury.  
7. The Chargers' coach, Jim Harbaugh, thinks Herbert will feel better every day.  
8. Herbert had X-rays on his leg, and they showed no broken bones.  
9. He walked with a big limp after the game against the Panthers.  
10. Herbert threw for two touchdowns in the game where he got hurt.  
11. If Herbert cannot play, Easton Stick will be the new quarterback.  
12. Herbert has played 34 games in a row before this injury.","1. Los Angeles Chargers quarterback Justin Herbert was injured during the game.
4. The injury was confirmed by team sources after the game.
7. Herbert is expected to miss at least a few weeks of play due to the injury.
10. Herbert's rib injury is not considered season-ending."
sport_7.json,https://bleacherreport.com/articles/10136173-uconns-dan-hurley-consulted-bulls-billy-donovan-while-mulling-lakers-hc-contract,"UConn's Dan Hurley Consulted Bulls' Billy Donovan While Mulling Lakers HC Contract Mitchell Layton/Getty Images

When deciding between staying at UConn or accepting a job to be the head coach of the Los Angeles Lakers, Dan Hurley consulted an NBA coach who faced a similar decision more than a decade ago. The Huskies head coach sought advice from Chicago Bulls head coach Billy Donovan, per CT Insider's David Borges. Donovan won a pair of championships at Florida in 2006 and 2007 and was offered the head coaching position for the Orlando Magic, which he initially accepted before retracting his commitment to return to Gainesville. ""We didn't get into the Lakers' situation or their personnel,"" Donovan said. ""I think Danny needed to go through whatever he went through. He was going to be able to find out the inner workings of the Lakers. I don't know anything about that ... Danny had to go through that on his own."" Hurley is coming off back-to-back championships with UConn, but he was offered a job to lead one of the most historic franchises in NBA history as well as one of the greatest players of all time in LeBron James. The allure of the Lakers' head coaching job wasn't enough to pull him from the collegiate ranks just yet, though. ""My whole mindset, the type of coaching that suits me best right now, is certainly college,"" Hurley said, per Borges. ""I want to be able to control my own destiny the best that I can. I schedule my games, I pick the players, I hire my staff. I decide how long we're going to practice, when we're going to practice.""",gpt-4o-mini,dt03,"1. Dan Hurley is the head coach of UConn's basketball team.  
2. He thought about becoming the head coach of the Los Angeles Lakers.  
3. Hurley asked NBA coach Billy Donovan for advice about this decision.  
4. Billy Donovan used to coach at Florida and won two championships.  
5. Donovan was once offered a job with the Orlando Magic but changed his mind.  
6. Hurley just won two championships with UConn before this decision.  
7. The Lakers are a famous basketball team with a great player named LeBron James.  
8. Hurley decided to stay at UConn instead of taking the Lakers' job.  
9. He feels that coaching in college is better for him right now.  
10. Hurley likes to have control over his team and decisions.  
11. He can choose when to practice and who to coach at UConn.  
12. Hurley wants to shape his own future as a coach.  ","1. Dan Hurley is a prominent college basketball coach.
4. He previously served as head coach at Rhode Island before joining UConn.
7. Hurley has been recognized for his coaching achievements and has received several awards.
10. The UConn women's basketball team has also been highly successful, contributing to the program's reputation."
sport_8.json,https://bleacherreport.com/articles/10136171-nick-saban-shades-vanderbilt-says-program-has-only-sec-stadium-not-hard-to-play-at,"Nick Saban Shades Vanderbilt, Says Program Has Only SEC Stadium 'Not Hard to Play' At Brandon Sumrall/Getty Images

Nick Saban may be retired, but the former Alabama head coach didn't hesitate to throw some shade at a former conference opponent. During an appearance on The Pat McAfee Show on Friday, Saban said he felt during his time with the Crimson Tide that Vanderbilt was the easiest environment to play in among SEC teams. ""The only place you're going to play in the SEC that's not hard to play, Vanderbilt. When you play at Vanderbilt, you have more fans there than they have, and that's no disrespect to them, it's the truth,"" Saban said (h/t Steve Samra of On3.com). Vanderbilt plays at FirstBank Stadium in Nashville. The team announced that it had a sellout for its home opener against Virginia Tech in Week 1 with 28,934 fans in attendance. The Commodores defeated the Hokies 34-27 in overtime and followed that up with a 55-0 win at home against Alcorn State before suffering their first loss last week on the road against Georgia State. Still, Nashville is a popular tourist destination, and Saban said he felt there were more Alabama supporters than Vanderbilt fans in attendance when the Crimson Tide would visit. He also explained that other SEC schools presented tougher atmospheres. ""We're at LSU and we go right down the field when Tua [Tagovailoa] is playing and we get down on the 20-yard-line, where the student section is, we got four straight false starts,"" Saban said. ""The players are all going, shaking their heads like, 'I can't hear, I can't hear,' so it forces you to go on silent.",gpt-4o-mini,dt03,"1. Nick Saban used to be the coach of Alabama football.  
2. He talked about Vanderbilt on The Pat McAfee Show.  
3. Saban thinks Vanderbilt is the easiest place to play in the SEC.  
4. He said there are more Alabama fans than Vanderbilt fans at their games.  
5. Vanderbilt plays its home games at FirstBank Stadium in Nashville.  
6. The stadium had 28,934 fans for a game against Virginia Tech.  
7. Vanderbilt won the game against Virginia Tech 34-27 in overtime.  
8. They also won another game 55-0 against Alcorn State.  
9. Vanderbilt lost their next game against Georgia State.  
10. Nashville is a popular place for tourists to visit.  
11. Saban said other SEC schools have louder and tougher crowds.  
12. He shared an example of loud fans at LSU making it hard for players to hear.","1. Nick Saban is widely regarded as one of the greatest college football coaches of all time.
4. Saban has been recognized with numerous coaching awards throughout his career.
7. The Alabama Crimson Tide is renowned for its passionate fan base and loyal supporters.
10. The Vanderbilt Commodores have made notable strides in recent years to improve their football program."
sport_9.json,https://bleacherreport.com/articles/10136168-fantasy-alert-kareem-hunt-wont-play-for-chiefs-vs-falcons-samaje-perine-to-be-rb1,"Fantasy Alert: Kareem Hunt Won't Play for Chiefs vs. Falcons; Samaje Perine to Be RB1 Cooper Neill/Getty Images

Fantasy football managers should avoid starting veteran running back Kareem Hunt even though he was signed to the Kansas City Chiefs' practice squad on Tuesday.

According to ESPN's Adam Schefter, Chiefs head coach Andy Reid confirmed that Hunt will not be elevated to Kansas City's active roster for a matchup with the Atlanta Falcons on Sunday.

With starting running back Isiah Pacheco currently on injured reserve due to a leg injury, Samaje Perine should see the majority of available snaps in the backfield.

Reid is likely giving Hunt more time to learn the Chiefs' playbook and prepare for his 2024 debut, as he's spent the past five seasons on the Cleveland Browns after his 2018 campaign in Kansas City.

He'll still have time to move up from the practice squad, as Pacheco is expected to miss at least six weeks after suffering a fractured fibula during the team's win over the Cincinnati Bengals in Week 2.

In the meantime, Perine will start for Kansas City on Sunday. The veteran has primarily operated in a complementary role for the Denver Broncos and Cincinnati Bengals over the past two seasons, offering value on the ground and through the air.

Since 2022, Perine has racked up 632 rush yards and 742 receiving yards to go along with seven total touchdowns in 33 appearances.

He's only started three games over that span, but the results are promising. In those three starts, Perine recorded 186 yards on the ground and 157 yards as a receiver. He'll be going up against a Falcons defense that has allowed the sixth-most rushing yards per game throughout the first two weeks of the year.",gpt-4o-mini,dt03,"1. Kareem Hunt will not play for the Kansas City Chiefs against the Atlanta Falcons.  
2. Hunt is on the Chiefs' practice squad but will not be on the active team.  
3. Isiah Pacheco is hurt and is on injured reserve with a leg injury.  
4. Samaje Perine will be the main running back for the Chiefs in the game.  
5. Andy Reid is the head coach of the Chiefs.  
6. Hunt is learning the Chiefs' playbook to prepare for a future game.  
7. Hunt played for the Cleveland Browns for five years before joining the Chiefs.  
8. Pacheco is expected to be out for at least six weeks because of a fractured fibula.  
9. Perine has played for the Denver Broncos and Cincinnati Bengals in the last two seasons.  
10. Since 2022, Perine has run for 632 yards and caught passes for 742 yards.  
11. Perine has scored seven total touchdowns in 33 games since 2022.  
12. The Falcons' defense has given up a lot of rushing yards in the first two weeks of the year.","1. Kareem Hunt was previously a standout running back for the Kansas City Chiefs.
2. Kareem Hunt was released by the Cleveland Browns before signing with the Chiefs.
3. The Chiefs signed Kareem Hunt earlier in the week.
4. Hunt's tenure with the Browns was marked by ups and downs.
5. The Chiefs are hoping to utilize Hunt's experience to bolster their offense.
6. The Chiefs are currently dealing with injuries to their running backs.
7. Kareem Hunt has a history of being a top performer in the NFL.
8. Hunt is expected to bring a strong skill set to the Chiefs' offense.
9. The Chiefs are looking to improve their running game this season.
10. The coaching staff believes Hunt can make an immediate impact.
11. The Chiefs are facing tough competition in their division this year.
12. The game against the Falcons is crucial for the Chiefs' playoff hopes."
sport_10.json,https://bleacherreport.com/articles/10136132-kenny-omega-update-wwe-aew-rumors-on-kevin-owens-contract-swerve-strickland-return,"Kenny Omega Update; WWE, AEW Rumors on Kevin Owens Contract, Swerve Strickland Return Emma McIntyre

Bleacher Report catches you up on the latest news from the WWE Universe and All Elite Wrestling. Omega Says He's Not Medically Cleared to Wrestle

Kenny Omega has not wrestled since December or appeared on AEW programming in any capacity since May, and comments made by the former AEW world champion on Friday suggest his absence may not be coming to an end any time soon. In a post on X in which he hyped the inclusion of fellow AEW star Samoa Joe in the upcoming Like a Dragon: Pirate Yakuza in Hawaii video game, Omega noted that he is ""not medically cleared"" to compete:

The manner in which Omega revealed the information suggests he could be joking, but he has indeed battled his fair share of health issues since the inception of AEW. His most recent ailment is a bout with diverticulitis. When Omega appeared on an episode of Dynamite in May, he said he required surgery and noted that doctors told him he was lucky to be alive. Omega was then written off TV again due to an attack by Elite members The Young Bucks, Jack Perry and Kazuchika Okada. When Okada signed with AEW, it was an exciting prospect for wrestling fans since it meant the potential reprisal of his classic rivalry with Omega during their time together in New Japan Pro-Wrestling. That is likely still the end goal once Omega returns, but there remains no publicly known timeline for that to happen. When healthy, Omega is widely considered one of the best in-ring wrestlers in the world, and there is no question that he has been sorely missed by AEW fans over the past nine months.",gpt-4o-mini,dt03,"1. Kenny Omega has not wrestled since December.  
2. He has not appeared on AEW shows since May.  
3. Omega said he is ""not medically cleared"" to compete.  
4. He has had many health problems since AEW started.  
5. Omega's latest health issue is diverticulitis.  
6. Doctors told Omega he was lucky to be alive after surgery.  
7. He was written off TV after being attacked by The Young Bucks and others.  
8. Fans were excited when wrestler Okada joined AEW.  
9. Omega and Okada used to have a great rivalry in Japan.  
10. There is no known date for Omega's return to wrestling.  
11. Many people think Omega is one of the best wrestlers in the world.  
12. AEW fans have missed Omega a lot over the past nine months.","1. Kenny Omega is a professional wrestler.
2. He was last seen in a match against Hangman Page.
3. Omega was a former AEW World Champion.
4. He is known for his high-flying wrestling style and charismatic persona.
5. Omega has dealt with injuries including issues with his neck and shoulder.
6. He underwent surgery to address his health issues.
7. Omega has been on a hiatus from wrestling since his last match.
8. Omega was part of a storyline that involved a conflict with the Elite.
9. Okada and Omega have a storied rivalry from their time in New Japan Pro Wrestling.
10. Omega's matches with Okada are considered some of the greatest in wrestling history.
11. Fans and colleagues have expressed concern for Omega's health and well-being.
12. Omega has expressed a desire to return to wrestling when he is healthy."
